# lambda flux
# nm F$_{\lambda}$[W$m^{-2}\,nm^{-1}$]
479.56402793507317 1.6513463357483328e-18
479.66497341415595 1.6351746043217026e-18
479.7659188932388 1.6639308902675279e-18
479.8668643723215 1.6228598909526961e-18
479.96780985140435 1.6078869543864895e-18
480.06875533048714 1.653876285784915e-18
480.1697008095699 1.6814043413725923e-18
480.2706462886527 1.7198819560805103e-18
480.3715917677355 1.7144868789355678e-18
480.4725372468183 1.6498912865508955e-18
480.5734827259011 1.6481130933688473e-18
480.6744282049839 1.7150187721624018e-18
480.77537368406666 1.743220061619207e-18
480.87631916314945 1.6959003111131996e-18
480.9772646422322 1.6785618895996404e-18
481.078210121315 1.7065035254298072e-18
481.17915560039785 1.7424587275247383e-18
481.28010107948063 1.6860246462107128e-18
481.3810465585634 1.5888580625627952e-18
481.4819920376462 1.5962427573455176e-18
481.582937516729 1.6094972411230204e-18
481.68388299581176 1.6250817926616285e-18
481.78482847489454 1.6500182752159857e-18
481.8857739539774 1.6682705680509165e-18
481.98671943306016 1.6122677484951475e-18
482.08766491214294 1.643587341434661e-18
482.1886103912257 1.6893080727829107e-18
482.2895558703085 1.6590452587677054e-18
482.39050134939134 1.669150068717371e-18
482.49144682847407 1.6194017279277681e-18
482.5923923075569 1.6398894091383376e-18
482.6933377866397 1.6322128000124606e-18
482.79428326572247 1.6222500305127875e-18
482.89522874480525 1.6344110352175559e-18
482.99617422388803 1.6124212690836718e-18
483.0971197029709 1.632751959303689e-18
483.19806518205365 1.6960049050223724e-18
483.29901066113644 1.6678278568466883e-18
483.3999561402192 1.6037096244709327e-18
483.500901619302 1.603915062024461e-18
483.6018470983848 1.627103804765047e-18
483.70279257746756 1.649868145107144e-18
483.8037380565504 1.6648463066223565e-18
483.9046835356332 1.6461526212511966e-18
484.00562901471596 1.6644306188438717e-18
484.10657449379875 1.6605368819215263e-18
484.2075199728815 1.6534859883905858e-18
484.3084654519643 1.670144718894365e-18
484.4094109310471 1.6408341259489198e-18
484.51035641012993 1.6328839447044537e-18
484.6113018892127 1.6097760359285246e-18
484.7122473682955 1.608246989497766e-18
484.8131928473783 1.5962407292442776e-18
484.91413832646106 1.6203363856862077e-18
485.0150838055439 1.6199898392209794e-18
485.1160292846266 1.6053621157367711e-18
485.21697476370946 1.617422868510316e-18
485.31792024279224 1.6201480987846799e-18
485.418865721875 1.651841620124253e-18
485.5198112009578 1.6461245205029296e-18
485.6207566800406 1.6221215840846409e-18
485.7217021591234 1.6276258866472002e-18
485.82264763820615 1.627610831139574e-18
485.923593117289 1.6226855998017633e-18
486.02453859637177 1.6528900352390246e-18
486.12548407545455 1.6485365091792857e-18
486.22642955453733 1.5844406132746658e-18
486.3273750336201 1.6382596365918396e-18
486.42832051270295 1.6371314698980633e-18
486.52926599178573 1.666944848847091e-18
486.6302114708685 1.6918282770191645e-18
486.7311569499513 1.6463505091128182e-18
486.8321024290341 1.590626293233953e-18
486.93304790811686 1.5858843277089351e-18
487.03399338719964 1.6382300060978406e-18
487.1349388662825 1.633703421182374e-18
487.23588434536526 1.6423041032825568e-18
487.33682982444805 1.6166449861255099e-18
487.4377753035308 1.6769321141446486e-18
487.5387207826136 1.701293126162973e-18
487.6396662616964 1.6253140281304465e-18
487.7406117407792 1.6041101380910264e-18
487.841557219862 1.5776569260854462e-18
487.9425026989448 1.5510366309607974e-18
488.0434481780276 1.6316912022841502e-18
488.14439365711036 1.677066761240608e-18
488.24533913619314 1.6338184555409013e-18
488.346284615276 1.6269333490020628e-18
488.4472300943587 1.6128431462220728e-18
488.54817557344154 1.633531444240445e-18
488.6491210525243 1.6226927489578284e-18
488.7500665316071 1.6281671439026303e-18
488.8510120106899 1.5995311099971855e-18
488.95195748977267 1.5985201573166357e-18
489.0529029688555 1.6240960292908872e-18
489.1538484479383 1.6131736495975635e-18
489.25479392702107 1.6930913053351802e-18
489.35573940610385 1.6248516747407217e-18
489.45668488518663 1.5617552819994486e-18
489.5576303642694 1.6181657368881978e-18
489.6585758433522 1.6738856964637018e-18
489.75952132243503 1.6087892372241576e-18
489.8604668015178 1.577124977723738e-18
489.9614122806006 1.597829510294618e-18
490.0623577596834 1.6492149438134395e-18
490.16330323876616 1.606735955656697e-18
490.26424871784894 1.566606445166951e-18
490.3651941969317 1.5895543744632539e-18
490.46613967601456 1.5894282137270971e-18
490.56708515509735 1.5300067380893481e-18
490.6680306341801 1.5231052126448199e-18
490.7689761132629 1.5298312602361273e-18
490.8699215923457 1.523590406593733e-18
490.97086707142853 1.5635662470198168e-18
491.07181255051125 1.582175338104708e-18
491.1727580295941 1.5455543755435473e-18
491.2737035086769 1.5215511396627678e-18
491.37464898775966 1.496976428578313e-18
491.47559446684244 1.48972063802252e-18
491.5765399459252 1.4953501095895277e-18
491.67748542500806 1.4680260293633362e-18
491.7784309040908 1.4254973485666435e-18
491.8793763831736 1.4329650280024305e-18
491.9803218622564 1.4180264739640958e-18
492.0812673413392 1.3521563881471916e-18
492.18221282042197 1.635258649529703e-18
492.28315829950475 2.373625733855441e-18
492.3841037785876 3.130406847927546e-18
492.48504925767037 3.727184877967818e-18
492.58599473675315 4.289631862106506e-18
492.68694021583593 4.87523584973886e-18
492.7878856949187 5.202034608460788e-18
492.8888311740015 4.965757818240294e-18
492.9897766530843 4.378726986345175e-18
493.0907221321671 3.865662632637128e-18
493.1916676112499 3.375520590366927e-18
493.2926130903327 2.575422758255179e-18
493.39355856941546 1.7086647618369344e-18
493.49450404849824 1.4108872126514009e-18
